Time,Signal
3.94,-0.685
3.95,-0.588
3.96,-0.482
3.97,-0.368
3.98,-0.249
3.99,-0.125
4.0,-0.0
4.01,0.125
4.02,0.249
4.03,0.368
4.04,0.482
4.05,0.588
4.06,0.685
4.07,0.771
4.08,0.844
4.09,0.905
4.1,0.951
4.11,0.982
4.12,0.998
4.13,0.998
4.14,0.982
4.15,0.951
4.16,0.905
4.17,0.844
4.18,0.771
4.19,0.685
4.2,0.588
4.21,0.482
4.22,0.368
4.23,0.249
4.24,0.125
4.25,-0.0
4.26,-0.125
4.27,-0.249
4.28,-0.368
4.29,-0.482
4.3,-0.588
4.31,-0.685
4.32,-0.771
4.33,-0.844
4.34,-0.905
4.35,-0.951
4.36,-0.982
4.37,-0.998
4.38,-0.998
4.39,-0.982
4.4,-0.951
4.41,-0.905
4.42,-0.844
4.43,-0.771
4.44,-0.685
4.45,-0.588
4.46,-0.482
4.47,-0.368
4.48,-0.249
4.49,-0.125
4.5,-0.0
4.51,0.125
4.52,0.249
4.53,0.368
4.54,0.482
4.55,0.588
4.56,0.685
4.57,0.771
4.58,0.844
4.59,0.905
4.6,0.951
4.61,0.982
4.62,0.998
4.63,0.998
4.64,0.982
4.65,0.951
4.66,0.905
4.67,0.844
4.68,0.771
4.69,0.685
4.7,0.588
4.71,0.482
4.72,0.368
4.73,0.249
4.74,0.125
4.75,0.0
4.76,-0.125
4.77,-0.249
4.78,-0.368
4.79,-0.482
4.8,-0.588
4.81,-0.685
4.82,-0.771
4.83,-0.844
4.84,-0.905
4.85,-0.951
4.86,-0.982
4.87,-0.998
4.88,-0.998
4.89,-0.982
4.9,-0.951
4.91,-0.905
4.92,-0.844
4.93,-0.771
4.94,-0.685
4.95,-0.588
4.96,-0.482
4.97,-0.368
4.98,-0.249
4.99,-0.125
